# tier N: capitalized mid-sentence, never lowercase anywhere -> a name, so l stays l
sibal            sibal            midcap=9    occ=11
liwis            liwis            midcap=8    occ=9
mikat            mikat            midcap=8    occ=9
ingai            ingay            midcap=6    occ=8
dloan            dluan            midcap=6    occ=7
laoken           lauken           midcap=4    occ=5
lobyaq           lubyaq           midcap=3    occ=5
morisaka         murisaka         midcap=5    occ=5
sikat            sikat            midcap=4    occ=5
tain             tain             midcap=4    occ=5
talan            talan            midcap=4    occ=5
taolan           taulan           midcap=3    occ=5
akit             akit             midcap=3    occ=4
imin             imin             midcap=3    occ=4
mpa              mpa              midcap=1    occ=4
otun             utun             midcap=3    occ=4
atox             atuh             midcap=2    occ=3
atwi             atwi             midcap=2    occ=3
masa             masa             midcap=2    occ=3
opiç             upih             midcap=2    occ=3
pilin            pilin            midcap=3    occ=3
pirin            pirin            midcap=1    occ=3
sitang           sitang           midcap=2    occ=3
temi             temi             midcap=2    occ=3
timin            timin            midcap=1    occ=3
apwi             apwi             midcap=1    occ=2
arin             arin             midcap=0    occ=2
bal              bal              midcap=2    occ=2
byeqai           byeqay           midcap=1    occ=2
cristo           cristu           midcap=2    occ=2
diko             diku             midcap=1    occ=2
ixeng            iheng            midcap=1    occ=2
kimi             kimi             midcap=1    occ=2
micat            micat            midcap=1    occ=2
nali             nali             midcap=1    occ=2
nati             nati             midcap=1    occ=2
patong           patung           midcap=1    occ=2
sasak            sasak            midcap=1    occ=2
silin            silin            midcap=2    occ=2
sipwi            sipwi            midcap=0    occ=2
taosen           tausen           midcap=1    occ=2
taotyex          tautyeh          midcap=1    occ=2
tiwang           tiwang           midcap=1    occ=2
xoyo             huyu             midcap=1    occ=2
yiano            yianu            midcap=1    occ=2
yordan           yurdan           midcap=2    occ=2
akang            akang            midcap=0    occ=1
akin             akin             midcap=1    occ=1
amai             amay             midcap=0    occ=1
apin             apin             midcap=0    occ=1
apit             apit             midcap=0    occ=1
asin             asin             midcap=0    occ=1
atang            atang            midcap=0    occ=1
ban              ban              midcap=1    occ=1
beau             beau             midcap=1    occ=1
boin             buin             midcap=0    occ=1
cibi             cibi             midcap=1    occ=1
connaissance     cunnaissance     midcap=1    occ=1
dawai            daway            midcap=0    occ=1
duka             duka             midcap=0    occ=1
eco              ecu              midcap=1    occ=1
efunang          efunang          midcap=1    occ=1
grand            grand            midcap=1    occ=1
grandeur         grandeur         midcap=1    occ=1
ilüs             ilus             midcap=0    occ=1
inglongan        inglungan        midcap=1    occ=1
ipin             ipin             midcap=0    occ=1
iping            iping            midcap=0    occ=1
isat             isat             midcap=0    occ=1
jes              jes              midcap=1    occ=1
kikit            kikit            midcap=0    occ=1
kitan            kitan            midcap=0    occ=1
lakax            lakah            midcap=0    occ=1
laobin           laubin           midcap=0    occ=1
laon             laun             midcap=0    occ=1
laosin           lausin           midcap=0    occ=1
lingi            lingi            midcap=0    occ=1
lübak            lubak            midcap=0    occ=1
lübaq            lubaq            midcap=1    occ=1
maria            maria            midcap=1    occ=1
masai            masay            midcap=0    occ=1
mityang          mityang          midcap=0    occ=1
mixalasi         mihalasi         midcap=1    occ=1
mixang           mihang           midcap=0    occ=1
mixeng           miheng           midcap=0    occ=1
mnttlaqel        mnttlaqel        midcap=1    occ=1
mpsq'lol         mpsq'lul         midcap=1    occ=1
obin             ubin             midcap=0    occ=1
okak             ukak             midcap=0    occ=1
okax             ukah             midcap=0    occ=1
omat             umat             midcap=0    occ=1
paidang          paidang          midcap=0    occ=1
piking           piking           midcap=0    occ=1
pilex            pileh            midcap=0    occ=1
pilyaq           pilyaq           midcap=0    occ=1
pitong           pitung           midcap=0    occ=1
pixeng           piheng           midcap=0    occ=1
pnsdaxong        pnsdahung        midcap=1    occ=1
pusing           pusing           midcap=0    occ=1
qepi             qepi             midcap=0    occ=1
qlap             qlap             midcap=1    occ=1
rougeur          ruugeur          midcap=1    occ=1
sati             sati             midcap=0    occ=1
savoir           savuir           midcap=1    occ=1
segok            seguk            midcap=1    occ=1
segoq            seguq            midcap=1    occ=1
sering           sering           midcap=0    occ=1
sidi             sidi             midcap=0    occ=1
sidwi            sidwi            midcap=0    occ=1
simi             simi             midcap=0    occ=1
siyal            siyal            midcap=0    occ=1
sobil            subil            midcap=0    occ=1
syobao           syubaw           midcap=0    occ=1
syukang          syukang          midcap=0    occ=1
tailong          tailung          midcap=0    occ=1
tapang           tapang           midcap=0    occ=1
tbasyaq          tbasyaq          midcap=1    occ=1
tenong           tenung           midcap=1    occ=1
tibi             tibi             midcap=0    occ=1
tilae            tilay            midcap=0    occ=1
tiwas            tiwas            midcap=0    occ=1
tiwin            tiwin            midcap=0    occ=1
toli             tuli             midcap=0    occ=1
ts'alex          ts'aleh          midcap=1    occ=1
tyakang          tyakang          midcap=1    occ=1
udang            udang            midcap=0    occ=1
uding            uding            midcap=0    occ=1
umyaq            umyaq            midcap=0    occ=1
unaq             unaq             midcap=0    occ=1
unin             unin             midcap=1    occ=1
vivant           vivant           midcap=1    occ=1
volant           vulant           midcap=1    occ=1
wating           wating           midcap=0    occ=1
watyex           watyeh           midcap=0    occ=1
xabao            habaw            midcap=0    occ=1
xane             hane             midcap=1    occ=1
xatsö            hatsu            midcap=0    occ=1
yagex            yageh            midcap=0    occ=1
yawas            yawas            midcap=0    occ=1
yiyax            yiyah            midcap=1    occ=1
yokong           yukung           midcap=0    occ=1
yoyo             yuyu             midcap=0    occ=1
